,Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
29,Sri Lanka,LKA,LKR,1820.0,364.655,4.99101890828317,339.55223880597,3135.40506681319,-6.8839999999999995,-5.571000000000001,6.938,58.374,41.081,16.593,7.550999999999999,25.69,88.607,49.15
30,Moldova,MDA,MDL,60.0,18.8411,3.18452744266524,11.19402985074628,9778.9716,-40.587,-39.75,-31.768,1.05,-9.983,-27.298000000000002,-32.936,-21.626,17.605999999999998,-6.997000000000001
31,Mexico,MEX,MXN,79.0,18.838,4.19365113069328,14.738805970149256,15039.9924151899,-21.759999999999998,-20.657,-10.145999999999999,33.072,18.541,-5.952,-13.245999999999999,1.385,52.136,20.308999999999997
32,Malaysia,MYS,MYR,12.9,4.2855,3.01015050752538,2.4067164179104505,21198.4592868217,-43.84,-43.049,-35.504000000000005,-4.4830000000000005,-14.912,-33.861999999999995,-38.991,-28.701999999999998,6.9879999999999995,-15.394
33,Nicaragua,NIC,NIO,154.0,36.45,4.22496570644719,28.731343283582103,2968.46893506494,-21.176000000000002,-20.064999999999998,-9.475,34.065,19.427,-1.244,-8.903,6.460000000000001,59.751,26.331
34,Norway,NOR,NOK,65.0,9.86415,6.58951861032121,12.126865671641783,73315.9469292308,22.939,24.672,41.188,109.097,86.265,23.583000000000002,13.998,33.224,99.912,58.089999999999996
35,New Zealand,NZL,NZD,7.5,1.53787004998078,4.87687499999999,1.3992537313432838,52274.5077333333,-9.014,-7.731000000000001,4.492999999999999,54.752,37.854,-2.79,-10.329,4.7940000000000005,57.251,24.352999999999998
36,Oman,OMN,OMR,1.42,0.385,3.68831168831169,0.26492537313432846,34167.018028169,-31.188,-30.218,-20.974,17.036,4.257,-22.279,-28.307,-16.216,25.724999999999998,-0.577
37,Pakistan,PAK,PKR,780.0,230.2,3.38835794960904,145.52238805970165,2026.48419897436,-36.784,-35.893,-27.400999999999996,7.518,-4.222,-20.537,-26.700000000000003,-14.338000000000001,28.542,1.651
38,Peru,PER,PEN,13.9,3.8847,3.57813988210158,2.5932835820895535,10799.4205467626,-33.244,-32.302,-23.334,13.54,1.143,-18.596,-24.909,-12.245000000000001,31.683,4.135
39,Philippines,PHL,PHP,155.0,54.435,2.84743271792046,28.91791044776124,6716.40851612903,-46.876,-46.127,-38.991,-9.646,-19.512,-34.305,-39.4,-29.18,6.2700000000000005,-15.962000000000002
